"","time","number"
"1",2025-05-07 08:47:02.364441,13
"2",2025-05-07 08:52:13.474981,14
"3",2025-05-07 08:57:19.364171,15
"4",2025-05-07 09:02:24.296162,12
"5",2025-05-07 09:07:28.017764,13
"6",2025-05-07 09:12:31.574524,14
"7",2025-05-07 09:17:35.287493,13
"8",2025-05-07 09:22:39.282546,30
"9",2025-05-07 09:27:44.071248,31
"10",2025-05-07 09:32:49.366949,33
"11",2025-05-07 09:37:54.693222,33
"12",2025-05-07 09:42:59.439132,33
"13",2025-05-07 09:48:02.963299,36
"14",2025-05-07 09:53:07.992141,36
"15",2025-05-07 09:58:13.470105,41
"16",2025-05-07 10:03:19.265986,42
"17",2025-05-07 10:08:24.634514,43
"18",2025-05-07 10:13:30.075775,40
"19",2025-05-07 10:18:35.133701,40
"20",2025-05-07 10:23:40.245166,41
"21",2025-05-07 10:28:45.432101,41
"22",2025-05-07 10:33:50.717784,41
"23",2025-05-07 10:38:54.20339,42
"24",2025-05-07 10:43:57.859904,39
"25",2025-05-07 10:49:02.630496,36
"26",2025-05-07 10:54:07.874293,35
"27",2025-05-07 10:59:13.003971,36
"28",2025-05-07 11:04:19.460641,35
"29",2025-05-07 11:09:24.613963,35
"30",2025-05-07 11:14:30.075228,37
"31",2025-05-07 11:19:35.493856,40
"32",2025-05-07 11:24:41.918372,40
"33",2025-05-07 11:29:48.83198,41
"34",2025-05-07 11:34:54.252407,41
"35",2025-05-07 11:39:58.825473,41
"36",2025-05-07 11:45:04.719298,41
"37",2025-05-07 11:50:12.392667,44
"38",2025-05-07 11:55:19.003402,46
"39",2025-05-07 12:00:25.652091,47
"40",2025-05-07 12:05:31.112921,49
"41",2025-05-07 12:10:37.01931,49
"42",2025-05-07 12:15:42.501965,50
"43",2025-05-07 12:20:48.190502,49
"44",2025-05-07 12:25:54.33993,50
"45",2025-05-07 12:31:01.925626,50
"46",2025-05-07 12:36:07.201029,37
"47",2025-05-07 12:41:12.169583,37
"48",2025-05-07 12:46:15.476255,37
"49",2025-05-07 12:51:20.881322,38
"50",2025-05-07 12:56:26.315743,38
"51",2025-05-07 13:01:32.108938,37
"52",2025-05-07 13:06:38.667058,36
"53",2025-05-07 13:11:43.901317,38
"54",2025-05-07 13:16:49.285143,37
"55",2025-05-07 13:21:55.091677,56
"56",2025-05-07 13:27:00.822474,58
"57",2025-05-07 13:47:21.139509,60
"58",2025-05-07 13:52:26.247135,59
"59",2025-05-07 13:57:31.341574,56
"60",2025-05-07 14:02:36.19992,58
"61",2025-05-07 14:07:41.262026,58
"62",2025-05-07 14:12:46.725125,59
"63",2025-05-07 14:17:51.777769,60
"64",2025-05-07 14:22:57.275735,58
"65",2025-05-07 14:28:02.740215,58
"66",2025-05-07 14:33:07.739932,60
"67",2025-05-07 14:38:12.660707,59
"68",2025-05-07 14:43:17.979688,60
"69",2025-05-07 14:48:23.090516,59
"70",2025-05-07 14:53:28.56226,55
"71",2025-05-07 14:58:33.959004,54
"72",2025-05-07 15:03:39.26669,65
"73",2025-05-07 15:08:44.623437,65
"74",2025-05-07 15:13:49.532495,71
"75",2025-05-07 15:18:54.759461,72
"76",2025-05-07 15:23:59.96994,72
"77",2025-05-07 15:29:04.662878,71
"78",2025-05-07 15:34:08.500501,74
"79",2025-05-07 15:39:14.043858,76
"80",2025-05-07 15:44:18.647165,77
"81",2025-05-07 15:49:23.934363,78
"82",2025-05-07 15:54:28.790378,79
"83",2025-05-07 15:59:32.724547,79
"84",2025-05-07 16:04:37.063907,77
"85",2025-05-07 16:09:44.460134,84
"86",2025-05-07 16:14:52.277236,88
"87",2025-05-07 16:19:58.492576,87
"88",2025-05-07 16:25:05.736002,92
"89",2025-05-07 16:30:18.30386,94
"90",2025-05-07 16:35:26.166743,100
"91",2025-05-07 16:40:34.137176,100
"92",2025-05-07 16:45:41.425522,102
"93",2025-05-07 16:50:48.466995,107
"94",2025-05-07 16:55:55.298173,108
"95",2025-05-07 17:01:03.298797,113
"96",2025-05-07 17:06:09.929128,117
"97",2025-05-07 17:11:15.384548,118
"98",2025-05-07 17:16:20.420891,121
"99",2025-05-07 17:21:26.562392,113
"100",2025-05-07 17:26:33.143242,113
"101",2025-05-07 17:31:39.758062,117
"102",2025-05-07 17:36:46.832658,122
"103",2025-05-07 17:41:52.614602,122
"104",2025-05-07 17:46:59.590939,119
"105",2025-05-07 17:52:06.458421,127
"106",2025-05-07 17:57:13.208719,125
"107",2025-05-07 18:02:20.036276,125
"108",2025-05-07 18:07:26.607593,149
"109",2025-05-07 18:12:33.284664,148
"110",2025-05-07 18:17:39.873223,150
"111",2025-05-07 18:22:46.273381,150
"112",2025-05-07 18:27:53.376724,150
"113",2025-05-07 18:33:00.115443,150
"114",2025-05-07 18:38:07.135781,150
"115",2025-05-07 18:43:14.435667,150
"116",2025-05-07 18:48:21.236584,150
"117",2025-05-07 18:53:28.157681,150
"118",2025-05-07 18:58:34.41486,150
"119",2025-05-07 19:03:41.187188,150
"120",2025-05-07 19:08:48.116222,150
"121",2025-05-07 19:13:54.430342,150
"122",2025-05-07 19:19:01.26992,150
"123",2025-05-07 19:24:07.678284,150
"124",2025-05-07 19:29:13.650008,150
"125",2025-05-07 19:34:18.717636,150
"126",2025-05-07 19:39:25.219769,150
"127",2025-05-07 19:44:31.790073,150
"128",2025-05-07 19:49:38.883516,150
"129",2025-05-07 19:54:46.277846,150
"130",2025-05-07 19:59:53.408778,150
"131",2025-05-07 20:04:59.90492,150
"132",2025-05-07 20:10:06.463478,150
"133",2025-05-07 20:15:12.542206,150
"134",2025-05-07 20:20:19.146855,150
"135",2025-05-07 20:25:25.666814,150
"136",2025-05-07 20:30:32.668547,150
"137",2025-05-07 20:35:39.725358,150
"138",2025-05-07 20:40:46.12312,150
"139",2025-05-07 20:45:52.955635,150
"140",2025-05-07 20:50:59.887256,150
"141",2025-05-07 20:56:06.411866,150
