"","time","number"
"1",2025-05-12 09:03:41.07617,15
"2",2025-05-12 09:10:27.06871,16
"3",2025-05-12 09:15:32.259554,18
"4",2025-05-12 09:20:37.649252,23
"5",2025-05-12 09:25:42.827715,25
"6",2025-05-12 09:30:49.654598,23
"7",2025-05-12 09:35:57.380313,23
"8",2025-05-12 09:41:03.963667,24
"9",2025-05-12 09:46:09.393141,24
"10",2025-05-12 09:51:14.715218,26
"11",2025-05-12 09:56:18.615994,28
"12",2025-05-12 10:01:22.876281,29
"13",2025-05-12 10:06:27.7672,33
"14",2025-05-12 10:11:31.922542,33
"15",2025-05-12 10:16:37.086189,34
"16",2025-05-12 10:21:42.720626,48
"17",2025-05-12 10:26:47.798975,46
"18",2025-05-12 10:31:52.970131,48
"19",2025-05-12 10:36:57.88143,52
"20",2025-05-12 10:42:03.126904,53
"21",2025-05-12 10:47:07.236803,57
"22",2025-05-12 10:52:11.373335,57
"23",2025-05-12 10:57:15.582491,47
"24",2025-05-12 11:02:20.276824,47
"25",2025-05-12 11:07:25.903643,49
"26",2025-05-12 11:12:31.427427,49
"27",2025-05-12 11:17:36.71453,49
"28",2025-05-12 11:22:42.22011,50
"29",2025-05-12 11:27:47.519654,50
"30",2025-05-12 11:32:52.767782,46
"31",2025-05-12 11:37:57.171018,46
"32",2025-05-12 11:43:01.463627,46
"33",2025-05-12 11:48:05.919469,49
"34",2025-05-12 11:53:10.517533,53
"35",2025-05-12 11:58:14.585236,56
"36",2025-05-12 12:03:19.703017,56
"37",2025-05-12 12:08:25.149643,53
"38",2025-05-12 12:13:29.907518,53
"39",2025-05-12 12:18:35.07917,53
"40",2025-05-12 12:39:39.508843,72
"41",2025-05-12 12:44:45.481568,75
"42",2025-05-12 12:49:53.215838,79
"43",2025-05-12 13:30:37.768245,96
"44",2025-05-12 13:35:45.115601,96
"45",2025-05-12 13:40:53.983854,96
"46",2025-05-12 13:46:02.551092,95
"47",2025-05-12 13:51:11.699846,96
"48",2025-05-12 13:56:20.90368,97
"49",2025-05-12 14:01:30.569395,103
"50",2025-05-12 14:06:39.434996,103
"51",2025-05-12 14:11:48.187123,108
"52",2025-05-12 14:16:56.46254,111
"53",2025-05-12 14:22:04.643072,112
"54",2025-05-12 14:27:13.546115,111
"55",2025-05-12 14:32:19.271997,109
"56",2025-05-12 14:37:24.729225,107
"57",2025-05-12 14:42:39.499085,104
"58",2025-05-12 14:47:51.637556,105
"59",2025-05-12 14:53:00.107336,103
"60",2025-05-12 14:58:08.111623,103
"61",2025-05-12 15:03:18.781797,107
"62",2025-05-12 15:08:29.810526,113
"63",2025-05-12 15:13:33.580746,117
"64",2025-05-12 15:18:38.876061,118
"65",2025-05-12 15:23:45.85596,119
"66",2025-05-12 15:29:14.559032,117
"67",2025-05-12 15:34:25.727916,116
"68",2025-05-12 15:39:36.855029,116
"69",2025-05-12 15:44:45.156244,113
"70",2025-05-12 15:49:56.79637,113
"71",2025-05-12 15:55:04.883586,112
"72",2025-05-12 16:00:17.752881,112
"73",2025-05-12 16:05:26.720365,133
"74",2025-05-12 16:10:37.986053,132
"75",2025-05-12 16:15:48.262061,140
"76",2025-05-12 16:20:56.711233,138
"77",2025-05-12 16:26:05.211003,137
"78",2025-05-12 16:31:14.252233,135
"79",2025-05-12 16:36:23.183204,134
"80",2025-05-12 16:41:34.786599,136
