"","time","number"
"1",2025-05-16 11:02:15.646336,49
"2",2025-05-16 11:07:25.863781,50
"3",2025-05-16 11:12:30.883681,52
"4",2025-05-16 11:17:37.013066,55
"5",2025-05-16 11:22:42.772237,56
"6",2025-05-16 11:27:48.938394,57
"7",2025-05-16 11:58:43.988841,67
"8",2025-05-16 12:03:52.860027,71
"9",2025-05-16 12:09:01.952494,70
"10",2025-05-16 12:14:10.882982,38
"11",2025-05-16 12:19:19.77653,18
"12",2025-05-16 12:24:28.683537,19
"13",2025-05-16 12:29:37.670746,19
"14",2025-05-16 12:34:44.902103,19
"15",2025-05-16 12:39:51.946128,24
"16",2025-05-16 12:45:00.893572,24
"17",2025-05-16 12:50:10.046246,24
"18",2025-05-16 12:55:17.250435,24
"19",2025-05-16 13:00:23.792237,24
"20",2025-05-16 13:05:31.037507,24
"21",2025-05-16 13:10:39.772907,28
"22",2025-05-16 13:15:46.907607,30
"23",2025-05-16 13:20:52.765931,30
"24",2025-05-16 13:26:00.322825,32
"25",2025-05-16 13:31:09.187677,33
"26",2025-05-16 13:36:17.995334,33
"27",2025-05-16 13:41:26.384849,34
"28",2025-05-16 13:46:33.846341,34
"29",2025-05-16 13:51:42.552841,37
"30",2025-05-16 13:56:51.369724,37
"31",2025-05-16 14:01:59.819692,38
"32",2025-05-16 14:07:07.604987,38
"33",2025-05-16 14:12:14.218888,42
"34",2025-05-16 14:17:22.760267,47
"35",2025-05-16 14:22:31.370112,48
"36",2025-05-16 14:27:40.34401,51
"37",2025-05-16 14:32:49.189191,54
"38",2025-05-16 14:37:58.109767,55
"39",2025-05-16 14:43:06.727015,55
"40",2025-05-16 14:48:12.515795,56
"41",2025-05-16 14:53:17.94235,59
"42",2025-05-16 14:58:27.53189,60
"43",2025-05-16 15:03:33.554765,60
"44",2025-05-16 15:08:40.739595,61
"45",2025-05-16 15:13:48.200645,61
"46",2025-05-16 15:18:56.669213,66
"47",2025-05-16 15:24:06.771594,68
"48",2025-05-16 15:29:15.804022,70
"49",2025-05-16 15:34:24.517551,93
"50",2025-05-16 15:39:33.428821,94
"51",2025-05-16 15:44:42.515313,93
"52",2025-05-16 15:49:51.554299,91
"53",2025-05-16 15:55:00.490035,89
"54",2025-05-16 16:00:11.782802,84
"55",2025-05-16 16:05:20.82852,85
"56",2025-05-16 16:10:29.881147,60
"57",2025-05-16 16:15:38.790746,72
"58",2025-05-16 16:20:47.707614,73
"59",2025-05-16 16:25:56.740455,71
"60",2025-05-16 16:31:06.110869,74
"61",2025-05-16 16:36:15.287685,75
"62",2025-05-16 16:41:23.63054,81
"63",2025-05-16 16:46:32.541952,83
"64",2025-05-16 16:51:41.531872,85
"65",2025-05-16 16:56:51.293332,87
"66",2025-05-16 17:02:00.025993,86
"67",2025-05-16 17:07:08.794302,87
"68",2025-05-16 17:12:17.689952,89
"69",2025-05-16 17:17:26.80632,92
"70",2025-05-16 17:22:35.591429,93
"71",2025-05-16 17:27:44.638693,94
"72",2025-05-16 17:32:53.513088,98
"73",2025-05-16 17:38:02.324399,102
"74",2025-05-16 17:43:11.325814,104
"75",2025-05-16 17:48:20.304678,110
"76",2025-05-16 17:53:28.930804,114
"77",2025-05-16 17:58:37.961573,118
"78",2025-05-16 18:03:47.093274,121
"79",2025-05-16 18:08:56.028725,125
"80",2025-05-16 18:14:05.227058,125
"81",2025-05-16 18:19:14.253268,129
"82",2025-05-16 18:24:22.746368,134
"83",2025-05-16 18:29:31.476216,136
"84",2025-05-16 18:34:40.26456,135
"85",2025-05-16 18:39:49.210237,133
"86",2025-05-16 18:44:58.017085,137
"87",2025-05-16 18:50:06.987376,136
"88",2025-05-16 18:55:16.211179,137
"89",2025-05-16 19:00:25.219826,138
"90",2025-05-16 19:05:34.295091,139
"91",2025-05-16 19:10:43.643102,145
"92",2025-05-16 19:15:52.766797,143
"93",2025-05-16 19:21:00.295813,142
"94",2025-05-16 19:26:05.094142,143
"95",2025-05-16 19:31:10.479748,127
"96",2025-05-16 19:36:15.703978,119
"97",2025-05-16 19:41:22.864228,120
"98",2025-05-16 19:46:31.840105,122
"99",2025-05-16 19:51:40.936837,126
"100",2025-05-16 19:56:49.854196,129
"101",2025-05-16 20:01:59.128458,126
"102",2025-05-16 20:07:08.096748,129
"103",2025-05-16 20:12:17.155158,117
"104",2025-05-16 20:17:26.221201,116
"105",2025-05-16 20:22:35.026745,116
"106",2025-05-16 20:27:44.217379,115
"107",2025-05-16 20:32:53.220263,111
"108",2025-05-16 20:38:02.250304,105
"109",2025-05-16 20:43:11.328294,103
"110",2025-05-16 20:48:20.387303,103
"111",2025-05-16 20:53:29.455714,101
"112",2025-05-16 20:58:38.587583,102
"113",2025-05-16 21:03:47.752192,101
"114",2025-05-16 21:08:56.398056,100
"115",2025-05-16 21:14:05.508996,98
"116",2025-05-16 21:19:14.582863,96
"117",2025-05-16 21:24:23.463781,96
"118",2025-05-16 21:29:32.447039,93
"119",2025-05-16 21:34:41.548043,91
"120",2025-05-16 21:39:50.592053,89
"121",2025-05-16 21:44:59.642421,82
"122",2025-05-16 21:50:08.642361,79
"123",2025-05-16 21:55:17.585269,75
"124",2025-05-16 22:00:26.899108,72
