"","time","number"
"1",2025-05-17 09:01:46.890773,5
"2",2025-05-17 09:07:07.234916,5
"3",2025-05-17 09:12:12.643632,5
"4",2025-05-17 09:17:17.720496,6
"5",2025-05-17 09:22:22.793865,12
"6",2025-05-17 09:27:27.964649,17
"7",2025-05-17 09:32:34.343304,19
"8",2025-05-17 09:37:39.727269,19
"9",2025-05-17 09:42:45.078189,21
"10",2025-05-17 09:47:50.718578,24
"11",2025-05-17 09:52:56.340072,25
"12",2025-05-17 09:58:01.93955,27
"13",2025-05-17 10:03:07.57946,31
"14",2025-05-17 10:08:13.115125,31
"15",2025-05-17 10:13:18.666488,33
"16",2025-05-17 10:18:24.19217,34
"17",2025-05-17 10:23:29.787717,37
"18",2025-05-17 10:28:35.63535,44
"19",2025-05-17 10:33:40.929938,45
"20",2025-05-17 10:38:46.396617,45
"21",2025-05-17 10:43:52.020148,48
"22",2025-05-17 10:48:57.430751,37
"23",2025-05-17 10:54:03.021785,41
"24",2025-05-17 10:59:08.199957,44
"25",2025-05-17 11:04:13.853889,45
"26",2025-05-17 11:09:19.778013,48
"27",2025-05-17 11:14:25.464934,51
"28",2025-05-17 11:19:30.987585,54
"29",2025-05-17 11:24:36.278115,56
"30",2025-05-17 11:29:41.795016,58
"31",2025-05-17 11:34:47.085323,60
"32",2025-05-17 11:39:52.471033,62
"33",2025-05-17 11:44:57.937852,61
"34",2025-05-17 11:50:03.309433,61
"35",2025-05-17 11:55:08.942005,63
"36",2025-05-17 12:00:20.962693,64
"37",2025-05-17 12:05:26.17491,70
"38",2025-05-17 12:10:32.213786,70
"39",2025-05-17 12:15:37.633104,72
"40",2025-05-17 12:20:42.927306,78
"41",2025-05-17 12:25:48.224905,80
"42",2025-05-17 12:30:55.384628,83
"43",2025-05-17 12:36:04.450739,86
"44",2025-05-17 12:41:13.404417,88
"45",2025-05-17 12:46:22.589863,88
"46",2025-05-17 12:51:31.614544,94
"47",2025-05-17 12:56:40.58268,94
"48",2025-05-17 13:01:47.604213,92
"49",2025-05-17 13:06:52.985108,92
"50",2025-05-17 13:11:58.430028,63
"51",2025-05-17 13:17:05.920647,67
"52",2025-05-17 13:22:14.259813,71
"53",2025-05-17 13:27:22.607325,70
"54",2025-05-17 13:32:31.100643,71
"55",2025-05-17 13:37:39.563981,72
"56",2025-05-17 13:42:47.780203,72
"57",2025-05-17 13:47:55.633954,72
"58",2025-05-17 13:53:03.694862,55
"59",2025-05-17 13:58:12.074032,57
"60",2025-05-17 14:03:20.190529,58
"61",2025-05-17 14:08:28.104457,59
"62",2025-05-17 14:13:34.283209,61
"63",2025-05-17 14:18:39.590997,68
"64",2025-05-17 14:23:45.046171,68
"65",2025-05-17 14:28:53.27426,76
"66",2025-05-17 14:34:01.823212,78
"67",2025-05-17 14:39:09.958366,74
"68",2025-05-17 14:44:18.567774,74
"69",2025-05-17 14:49:26.99442,75
"70",2025-05-17 14:54:35.216007,75
"71",2025-05-17 14:59:43.53805,75
"72",2025-05-17 15:04:50.875039,74
"73",2025-05-17 15:09:59.299921,76
"74",2025-05-17 15:15:07.454528,79
"75",2025-05-17 15:20:15.946111,47
"76",2025-05-17 15:25:24.698712,51
"77",2025-05-17 15:30:33.076572,51
"78",2025-05-17 15:35:41.392875,52
"79",2025-05-17 15:40:49.382332,57
"80",2025-05-17 15:45:58.012632,57
"81",2025-05-17 15:51:05.795533,58
"82",2025-05-17 15:56:13.808283,59
"83",2025-05-17 16:01:21.895821,60
"84",2025-05-17 16:06:30.123886,62
"85",2025-05-17 16:11:39.231484,65
"86",2025-05-17 16:16:47.653371,69
"87",2025-05-17 16:21:56.180996,70
"88",2025-05-17 16:27:04.490934,72
"89",2025-05-17 16:32:13.093996,74
"90",2025-05-17 16:37:21.616123,74
"91",2025-05-17 16:42:30.262392,44
"92",2025-05-17 16:47:38.518811,45
"93",2025-05-17 16:52:46.897749,48
"94",2025-05-17 16:57:55.501208,51
"95",2025-05-17 17:03:03.555376,51
"96",2025-05-17 17:08:10.719966,56
"97",2025-05-17 17:13:15.993662,58
"98",2025-05-17 17:18:21.397972,59
"99",2025-05-17 17:23:28.891798,63
"100",2025-05-17 17:28:37.860501,67
"101",2025-05-17 17:33:46.780511,67
"102",2025-05-17 17:38:55.609963,66
"103",2025-05-17 17:44:04.758496,67
"104",2025-05-17 17:49:13.725443,67
"105",2025-05-17 17:54:22.659469,67
"106",2025-05-17 17:59:31.46563,70
"107",2025-05-17 18:04:40.750235,75
"108",2025-05-17 18:09:49.881284,77
"109",2025-05-17 18:14:58.832659,80
"110",2025-05-17 18:20:07.832081,86
"111",2025-05-17 18:25:17.039583,89
"112",2025-05-17 18:30:26.105238,90
"113",2025-05-17 18:35:35.077005,96
"114",2025-05-17 18:40:43.669886,98
"115",2025-05-17 18:45:51.185121,101
"116",2025-05-17 18:51:00.489093,101
"117",2025-05-17 18:56:09.733953,101
"118",2025-05-17 19:01:18.903686,101
"119",2025-05-17 19:06:28.145562,100
"120",2025-05-17 19:11:37.204741,99
"121",2025-05-17 19:16:46.316565,96
"122",2025-05-17 19:21:54.575116,96
"123",2025-05-17 19:27:03.039688,96
"124",2025-05-17 19:32:11.671175,96
"125",2025-05-17 19:37:20.149606,90
"126",2025-05-17 19:42:28.45254,90
"127",2025-05-17 19:47:36.693737,90
"128",2025-05-17 19:52:45.017013,88
"129",2025-05-17 19:57:53.749205,74
"130",2025-05-17 20:03:02.299668,74
"131",2025-05-17 20:08:11.15139,75
"132",2025-05-17 20:13:19.56646,77
"133",2025-05-17 20:18:27.834863,77
"134",2025-05-17 20:23:36.040356,78
