"","time","number"
"1",2025-05-06 09:00:52.97326,54
"2",2025-05-06 09:06:00.65721,55
"3",2025-05-06 09:11:06.164106,56
"4",2025-05-06 09:16:11.91228,56
"5",2025-05-06 09:21:17.141475,56
"6",2025-05-06 09:26:23.536605,56
"7",2025-05-06 09:31:30.209095,56
"8",2025-05-06 09:36:35.9253,52
"9",2025-05-06 09:41:41.244815,54
"10",2025-05-06 09:46:48.03997,54
"11",2025-05-06 09:51:53.398758,55
"12",2025-05-06 09:56:58.683835,55
"13",2025-05-06 10:02:04.397597,57
"14",2025-05-06 10:07:10.50927,57
"15",2025-05-06 10:12:15.737241,57
"16",2025-05-06 10:17:21.365547,57
"17",2025-05-06 10:22:26.758805,58
"18",2025-05-06 10:27:31.98937,56
"19",2025-05-06 10:32:36.848185,56
"20",2025-05-06 10:37:40.364015,56
"21",2025-05-06 10:42:43.871549,59
"22",2025-05-06 10:47:47.712401,59
"23",2025-05-06 10:52:51.897028,61
"24",2025-05-06 10:57:56.794598,61
"25",2025-05-06 11:03:01.066728,61
"26",2025-05-06 11:08:05.384823,60
"27",2025-05-06 11:13:10.024111,60
"28",2025-05-06 11:18:15.870625,60
"29",2025-05-06 11:23:21.387847,57
"30",2025-05-06 11:28:29.86729,58
"31",2025-05-06 11:33:36.353388,58
"32",2025-05-06 11:38:42.949173,58
"33",2025-05-06 11:43:49.010784,60
"34",2025-05-06 11:48:55.282628,61
"35",2025-05-06 11:54:00.856925,61
"36",2025-05-06 11:59:06.482779,61
"37",2025-05-06 12:04:14.62307,60
"38",2025-05-06 12:09:20.81929,61
"39",2025-05-06 12:14:27.526085,61
"40",2025-05-06 12:19:34.828357,62
"41",2025-05-06 12:24:43.965082,63
"42",2025-05-06 12:29:52.089665,66
"43",2025-05-06 12:35:00.779268,48
"44",2025-05-06 12:40:07.930647,39
"45",2025-05-06 12:45:15.210392,36
"46",2025-05-06 12:50:22.060377,30
"47",2025-05-06 12:55:28.424838,32
"48",2025-05-06 13:00:34.981375,32
"49",2025-05-06 13:05:41.120629,34
"50",2025-05-06 13:10:46.593991,35
"51",2025-05-06 13:15:52.841774,37
"52",2025-05-06 13:21:00.020825,37
"53",2025-05-06 13:26:06.26269,37
"54",2025-05-06 13:31:14.897231,38
"55",2025-05-06 13:36:21.888965,41
"56",2025-05-06 13:41:27.667093,43
"57",2025-05-06 13:46:34.205706,44
"58",2025-05-06 13:51:40.070018,45
"59",2025-05-06 13:56:46.04993,46
"60",2025-05-06 14:01:52.411603,44
"61",2025-05-06 14:07:01.480442,43
"62",2025-05-06 14:12:07.258395,43
"63",2025-05-06 14:17:15.147189,43
"64",2025-05-06 14:22:21.736854,42
"65",2025-05-06 14:27:28.455819,43
"66",2025-05-06 14:32:34.458299,44
"67",2025-05-06 14:37:40.095571,43
"68",2025-05-06 14:42:46.350702,42
"69",2025-05-06 14:47:53.353695,43
"70",2025-05-06 14:52:58.954771,43
"71",2025-05-06 14:58:05.524389,41
"72",2025-05-06 15:03:12.100223,43
"73",2025-05-06 15:08:18.394979,47
"74",2025-05-06 15:13:24.77435,49
"75",2025-05-06 15:18:32.140043,50
"76",2025-05-06 15:23:39.998431,52
"77",2025-05-06 15:28:45.906373,62
"78",2025-05-06 15:33:52.216288,63
"79",2025-05-06 15:38:57.301653,63
"80",2025-05-06 15:44:02.710414,61
"81",2025-05-06 15:49:08.318552,61
"82",2025-05-06 15:54:13.700105,62
"83",2025-05-06 15:59:19.172023,67
"84",2025-05-06 16:04:25.657194,68
"85",2025-05-06 16:09:31.151893,64
"86",2025-05-06 16:14:37.674797,65
"87",2025-05-06 16:19:43.050882,63
"88",2025-05-06 16:24:50.72432,62
"89",2025-05-06 16:29:56.610813,66
"90",2025-05-06 16:53:25.127506,68
"91",2025-05-06 16:58:30.610912,75
"92",2025-05-06 17:03:38.291744,78
"93",2025-05-06 17:08:46.127358,80
"94",2025-05-06 17:13:53.956337,81
"95",2025-05-06 17:19:01.895659,85
"96",2025-05-06 17:24:10.174971,86
"97",2025-05-06 17:29:18.135524,87
"98",2025-05-06 17:34:26.14985,88
"99",2025-05-06 17:39:34.869327,91
"100",2025-05-06 17:44:43.049156,93
"101",2025-05-06 17:49:51.322142,93
"102",2025-05-06 17:54:59.55093,103
"103",2025-05-06 18:00:10.93255,109
"104",2025-05-06 18:05:18.981093,111
"105",2025-05-06 18:10:26.979152,131
"106",2025-05-06 18:15:35.322645,131
"107",2025-05-06 18:20:43.587693,145
"108",2025-05-06 18:25:51.209032,149
"109",2025-05-06 18:30:59.613292,150
"110",2025-05-06 18:36:07.317854,150
"111",2025-05-06 18:41:15.554775,150
"112",2025-05-06 18:46:23.508448,150
"113",2025-05-06 18:51:30.764992,150
"114",2025-05-06 18:56:35.879385,150
"115",2025-05-06 19:01:41.762915,150
"116",2025-05-06 19:06:47.518511,150
"117",2025-05-06 19:11:53.817311,150
"118",2025-05-06 19:17:00.233139,150
"119",2025-05-06 19:22:06.904421,150
"120",2025-05-06 19:27:13.340498,150
"121",2025-05-06 19:32:19.49442,150
"122",2025-05-06 19:37:25.425107,150
"123",2025-05-06 19:42:32.579711,150
"124",2025-05-06 19:47:39.452941,150
"125",2025-05-06 19:52:45.903594,150
"126",2025-05-06 19:57:52.162632,150
"127",2025-05-06 20:02:58.611502,150
"128",2025-05-06 20:08:05.091174,150
"129",2025-05-06 20:13:11.98339,150
"130",2025-05-06 20:18:18.35506,150
"131",2025-05-06 20:23:24.994079,150
"132",2025-05-06 20:28:31.305016,150
"133",2025-05-06 20:33:37.860811,150
"134",2025-05-06 20:38:44.770813,150
"135",2025-05-06 20:43:51.59777,150
"136",2025-05-06 20:48:57.960897,150
"137",2025-05-06 20:54:04.607386,150
"138",2025-05-06 20:59:11.440071,150
"139",2025-05-06 21:04:17.623876,150
"140",2025-05-06 21:09:24.512404,150
"141",2025-05-06 21:14:31.315465,150
"142",2025-05-06 21:19:38.474959,150
"143",2025-05-06 21:24:45.761411,150
"144",2025-05-06 21:29:51.641359,150
"145",2025-05-06 21:34:58.112993,150
"146",2025-05-06 21:40:05.264402,150
"147",2025-05-06 21:45:11.595795,150
"148",2025-05-06 21:50:17.548498,150
"149",2025-05-06 21:55:23.626237,145
"150",2025-05-06 22:00:28.823285,142
