"","time","number"
"1",2025-05-15 10:34:44.437378,19
"2",2025-05-15 10:39:54.37333,21
"3",2025-05-15 10:45:02.921631,22
"4",2025-05-15 10:50:10.039362,28
"5",2025-05-15 10:55:16.440783,21
"6",2025-05-15 11:00:23.121718,20
"7",2025-05-15 11:05:30.868731,21
"8",2025-05-15 11:10:38.985288,25
"9",2025-05-15 11:15:47.846247,26
"10",2025-05-15 11:20:56.75423,26
"11",2025-05-15 11:26:05.489183,26
"12",2025-05-15 11:31:14.117078,26
"13",2025-05-15 11:36:20.974318,27
"14",2025-05-15 11:41:27.225779,28
"15",2025-05-15 11:46:33.772615,26
"16",2025-05-15 11:51:39.211045,26
"17",2025-05-15 11:56:47.635381,24
"18",2025-05-15 12:01:56.221654,28
"19",2025-05-15 12:07:05.709656,30
"20",2025-05-15 12:12:14.514862,31
"21",2025-05-15 12:17:23.475051,32
"22",2025-05-15 12:22:32.618386,33
"23",2025-05-15 12:27:41.619186,33
"24",2025-05-15 12:32:50.468889,35
"25",2025-05-15 12:38:00.006589,38
"26",2025-05-15 12:43:09.11049,38
"27",2025-05-15 12:48:18.260682,39
"28",2025-05-15 12:53:27.236213,39
"29",2025-05-15 12:58:36.022976,39
"30",2025-05-15 13:03:44.386121,41
"31",2025-05-15 13:08:53.452661,41
"32",2025-05-15 13:14:01.908385,64
"33",2025-05-15 13:19:10.339231,66
"34",2025-05-15 13:24:17.523154,67
"35",2025-05-15 13:29:22.474616,68
"36",2025-05-15 13:34:27.72964,69
"37",2025-05-15 13:39:33.552234,70
"38",2025-05-15 13:44:38.672631,69
"39",2025-05-15 13:49:43.985178,70
"40",2025-05-15 13:54:49.817159,72
"41",2025-05-15 13:59:57.425175,71
"42",2025-05-15 14:05:06.386836,72
"43",2025-05-15 14:10:15.688604,73
"44",2025-05-15 14:15:24.322657,74
"45",2025-05-15 14:20:33.395307,75
"46",2025-05-15 14:25:42.139672,76
"47",2025-05-15 14:30:50.952938,74
"48",2025-05-15 14:35:59.574962,74
"49",2025-05-15 14:41:08.866522,72
"50",2025-05-15 14:46:16.707636,73
"51",2025-05-15 14:51:22.542918,70
"52",2025-05-15 14:56:28.312876,71
"53",2025-05-15 15:01:34.617862,72
"54",2025-05-15 15:06:40.454855,73
"55",2025-05-15 15:11:46.794321,74
"56",2025-05-15 15:16:52.841904,73
"57",2025-05-15 15:21:58.982347,72
"58",2025-05-15 15:27:04.869641,72
"59",2025-05-15 15:32:11.281897,84
"60",2025-05-15 15:37:17.137841,86
"61",2025-05-15 15:42:23.062909,89
"62",2025-05-15 15:47:28.536252,87
"63",2025-05-15 15:52:36.202367,89
"64",2025-05-15 15:57:42.77683,86
"65",2025-05-15 16:02:48.744213,89
"66",2025-05-15 16:07:57.641309,94
"67",2025-05-15 16:13:04.78462,99
"68",2025-05-15 16:18:10.119441,99
"69",2025-05-15 16:23:15.334359,107
"70",2025-05-15 16:28:20.520862,108
"71",2025-05-15 16:33:26.609357,107
"72",2025-05-15 16:38:35.46629,108
"73",2025-05-15 16:43:45.175762,111
"74",2025-05-15 16:48:54.037245,111
"75",2025-05-15 16:54:02.682225,113
"76",2025-05-15 16:59:11.446397,115
"77",2025-05-15 17:04:19.931511,115
"78",2025-05-15 17:09:28.77613,119
"79",2025-05-15 17:14:38.298816,101
"80",2025-05-15 17:19:47.28882,103
"81",2025-05-15 17:24:56.191721,104
"82",2025-05-15 17:30:06.490538,109
"83",2025-05-15 17:35:15.570928,111
"84",2025-05-15 17:40:24.492199,114
"85",2025-05-15 17:45:33.945939,120
"86",2025-05-15 17:50:42.968658,120
"87",2025-05-15 17:55:51.916206,125
"88",2025-05-15 18:01:01.099975,126
"89",2025-05-15 18:06:10.269486,129
"90",2025-05-15 18:11:19.324659,136
"91",2025-05-15 18:16:28.708637,140
"92",2025-05-15 18:21:37.524613,150
"93",2025-05-15 18:26:46.415602,150
"94",2025-05-15 18:31:55.431261,150
"95",2025-05-15 18:37:04.502408,150
"96",2025-05-15 18:42:13.431221,150
"97",2025-05-15 18:47:22.827377,150
"98",2025-05-15 18:52:31.900655,150
"99",2025-05-15 18:57:40.793642,150
"100",2025-05-15 19:02:49.681524,150
"101",2025-05-15 19:07:58.655928,150
"102",2025-05-15 19:13:07.711109,150
"103",2025-05-15 19:18:17.115491,150
"104",2025-05-15 19:23:25.084431,150
"105",2025-05-15 19:28:34.045624,150
"106",2025-05-15 19:33:42.914878,150
"107",2025-05-15 19:38:51.522219,150
"108",2025-05-15 19:44:00.536794,150
"109",2025-05-15 19:49:10.127729,150
"110",2025-05-15 19:54:19.044626,150
"111",2025-05-15 19:59:28.077785,150
"112",2025-05-15 20:04:37.12821,150
"113",2025-05-15 20:09:45.879679,150
"114",2025-05-15 20:14:54.872036,143
"115",2025-05-15 20:20:04.742317,140
"116",2025-05-15 20:25:13.638572,138
"117",2025-05-15 20:30:22.67526,138
"118",2025-05-15 20:35:31.449486,139
"119",2025-05-15 20:40:40.220395,139
"120",2025-05-15 20:45:49.122269,141
"121",2025-05-15 20:50:58.723553,143
"122",2025-05-15 20:56:07.652342,144
"123",2025-05-15 21:01:16.511344,144
"124",2025-05-15 21:06:25.52465,143
"125",2025-05-15 21:11:34.486233,143
"126",2025-05-15 21:16:43.39335,108
"127",2025-05-15 21:21:52.91278,108
"128",2025-05-15 21:27:01.917487,108
"129",2025-05-15 21:32:10.898583,108
"130",2025-05-15 21:37:19.781147,108
"131",2025-05-15 21:42:28.718106,106
"132",2025-05-15 21:47:37.604033,104
"133",2025-05-15 21:52:47.206776,104
"134",2025-05-15 21:57:56.179528,104
"135",2025-05-15 22:03:05.320514,103
