"","time","number"
"1",2025-05-13 08:42:34.458295,9
"2",2025-05-13 08:47:39.027921,8
"3",2025-05-13 08:52:43.982033,6
"4",2025-05-13 08:57:49.765199,7
"5",2025-05-13 09:02:55.133812,8
"6",2025-05-13 09:08:00.723706,8
"7",2025-05-13 09:32:57.19454,12
"8",2025-05-13 09:38:02.498419,14
"9",2025-05-13 09:43:07.961404,15
"10",2025-05-13 09:48:11.678785,15
"11",2025-05-13 09:53:15.368719,14
"12",2025-05-13 09:58:19.144835,14
"13",2025-05-13 10:03:24.424712,16
"14",2025-05-13 10:08:29.615366,17
"15",2025-05-13 10:13:34.975342,17
"16",2025-05-13 10:18:38.805715,19
"17",2025-05-13 10:23:42.650524,20
"18",2025-05-13 10:28:47.261697,20
"19",2025-05-13 10:33:52.02503,20
"20",2025-05-13 10:38:57.10613,22
"21",2025-05-13 10:44:01.248516,20
"22",2025-05-13 10:49:07.217192,20
"23",2025-05-13 10:54:14.165808,16
"24",2025-05-13 10:59:19.406131,20
"25",2025-05-13 11:04:23.407309,20
"26",2025-05-13 11:09:28.014503,20
"27",2025-05-13 11:14:32.903046,20
"28",2025-05-13 11:19:36.439625,19
"29",2025-05-13 11:24:40.926314,19
"30",2025-05-13 11:29:46.013512,19
"31",2025-05-13 11:34:51.726331,20
"32",2025-05-13 11:39:57.035648,19
"33",2025-05-13 11:45:00.427007,22
"34",2025-05-13 11:50:04.150863,20
"35",2025-05-13 11:55:07.501964,21
"36",2025-05-13 12:00:18.785704,21
"37",2025-05-13 12:05:22.929367,21
"38",2025-05-13 12:10:28.977638,15
"39",2025-05-13 12:15:36.266751,17
"40",2025-05-13 12:20:40.237321,18
"41",2025-05-13 12:25:48.125362,20
"42",2025-05-13 12:30:53.068262,25
"43",2025-05-13 12:35:57.58491,27
"44",2025-05-13 12:41:06.928256,27
"45",2025-05-13 12:46:11.996404,27
"46",2025-05-13 12:51:18.207555,27
"47",2025-05-13 12:56:23.040495,29
"48",2025-05-13 13:01:28.896526,31
"49",2025-05-13 13:06:35.14791,33
"50",2025-05-13 13:11:38.547268,33
"51",2025-05-13 13:16:42.041423,33
"52",2025-05-13 13:21:45.528985,34
"53",2025-05-13 13:26:49.05734,34
"54",2025-05-13 13:31:52.572474,56
"55",2025-05-13 13:36:57.05897,56
"56",2025-05-13 13:42:01.160205,56
"57",2025-05-13 13:47:06.540769,56
"58",2025-05-13 13:52:11.943658,58
"59",2025-05-13 13:57:16.03431,59
"60",2025-05-13 14:02:20.249994,58
"61",2025-05-13 14:07:24.057086,57
"62",2025-05-13 14:12:27.680203,58
"63",2025-05-13 14:17:31.109899,61
"64",2025-05-13 14:22:35.079694,62
"65",2025-05-13 14:27:40.517644,63
"66",2025-05-13 14:32:46.895534,64
"67",2025-05-13 14:37:50.665339,64
"68",2025-05-13 14:42:53.983081,64
"69",2025-05-13 14:47:59.429042,64
"70",2025-05-13 14:53:05.373275,67
"71",2025-05-13 14:58:11.010766,66
"72",2025-05-13 15:03:16.717769,70
"73",2025-05-13 15:08:22.757764,69
"74",2025-05-13 15:13:28.334931,70
"75",2025-05-13 15:18:33.705587,72
"76",2025-05-13 15:23:39.094813,74
"77",2025-05-13 15:28:44.995671,76
"78",2025-05-13 15:33:49.580597,79
"79",2025-05-13 15:38:53.573151,82
"80",2025-05-13 15:43:57.076956,80
"81",2025-05-13 15:49:02.626244,82
"82",2025-05-13 15:54:07.960758,82
"83",2025-05-13 15:59:12.865939,82
