"","time","number"
"1",2025-05-09 08:31:36.444048,12
"2",2025-05-09 08:36:41.666382,11
"3",2025-05-09 08:41:46.462832,11
"4",2025-05-09 08:46:52.443901,11
"5",2025-05-09 08:51:58.457638,12
"6",2025-05-09 08:57:03.677539,13
"7",2025-05-09 09:02:08.806344,13
"8",2025-05-09 09:07:15.128892,15
"9",2025-05-09 09:12:21.938957,15
"10",2025-05-09 09:17:28.592976,10
"11",2025-05-09 09:22:34.441995,12
"12",2025-05-09 09:27:40.600503,26
"13",2025-05-09 09:32:47.314165,27
"14",2025-05-09 09:37:51.635982,24
"15",2025-05-09 09:42:58.15581,26
"16",2025-05-09 09:48:05.629166,26
"17",2025-05-09 09:53:11.231991,28
"18",2025-05-09 09:58:17.299853,28
"19",2025-05-09 10:03:24.996235,29
"20",2025-05-09 10:08:32.558068,29
"21",2025-05-09 10:13:38.372248,29
"22",2025-05-09 10:18:43.529065,32
"23",2025-05-09 10:23:48.561448,34
"24",2025-05-09 10:28:53.615002,35
"25",2025-05-09 10:33:59.277197,36
"26",2025-05-09 10:39:04.369008,36
"27",2025-05-09 10:44:09.403448,36
"28",2025-05-09 10:49:14.570426,39
"29",2025-05-09 10:54:20.469789,38
"30",2025-05-09 10:59:24.963001,39
"31",2025-05-09 11:04:30.258369,39
"32",2025-05-09 11:09:35.360042,40
"33",2025-05-09 11:14:41.233549,40
"34",2025-05-09 11:19:45.432527,40
"35",2025-05-09 11:24:49.354456,43
"36",2025-05-09 11:29:53.593777,43
"37",2025-05-09 11:34:59.310282,55
"38",2025-05-09 11:40:04.211707,56
"39",2025-05-09 11:45:09.02493,72
"40",2025-05-09 11:50:13.853601,81
"41",2025-05-09 11:55:19.806588,94
"42",2025-05-09 12:00:25.175738,99
"43",2025-05-09 12:05:31.261279,100
"44",2025-05-09 12:10:35.926636,99
"45",2025-05-09 12:15:41.124816,102
"46",2025-05-09 12:20:46.44281,103
"47",2025-05-09 12:25:50.670362,107
"48",2025-05-09 12:30:54.854871,107
"49",2025-05-09 12:35:59.802835,110
"50",2025-05-09 12:41:04.210973,110
"51",2025-05-09 12:46:08.42727,110
"52",2025-05-09 12:51:12.914206,112
"53",2025-05-09 12:56:18.041331,113
"54",2025-05-09 13:01:21.894228,115
"55",2025-05-09 13:06:26.952768,114
"56",2025-05-09 13:11:31.567512,114
"57",2025-05-09 13:16:36.526705,115
"58",2025-05-09 13:21:40.357991,114
"59",2025-05-09 13:26:44.832948,101
"60",2025-05-09 13:31:49.665721,102
"61",2025-05-09 13:36:55.549843,101
"62",2025-05-09 13:41:59.525881,102
"63",2025-05-09 13:47:04.06558,102
"64",2025-05-09 13:52:09.327497,101
"65",2025-05-09 13:57:14.282444,101
"66",2025-05-09 14:02:18.095192,101
"67",2025-05-09 14:07:21.975864,101
"68",2025-05-09 14:12:25.62659,103
"69",2025-05-09 14:17:29.84055,102
"70",2025-05-09 14:22:33.42831,100
"71",2025-05-09 14:27:37.156216,99
"72",2025-05-09 14:32:40.713342,100
"73",2025-05-09 14:37:45.193042,103
"74",2025-05-09 14:42:49.651318,104
"75",2025-05-09 14:47:53.484694,105
"76",2025-05-09 14:52:57.668757,108
"77",2025-05-09 14:58:02.314699,109
"78",2025-05-09 15:03:06.136379,110
"79",2025-05-09 15:08:10.07727,30
"80",2025-05-09 15:13:14.851781,30
"81",2025-05-09 15:18:19.659299,32
"82",2025-05-09 15:23:24.92409,32
"83",2025-05-09 15:28:28.836804,33
"84",2025-05-09 15:33:32.90937,35
"85",2025-05-09 15:38:38.695641,38
"86",2025-05-09 15:43:43.198709,39
"87",2025-05-09 15:48:47.655687,39
"88",2025-05-09 15:53:53.779152,41
"89",2025-05-09 15:58:59.354542,41
"90",2025-05-09 16:04:04.368184,43
"91",2025-05-09 16:09:09.255372,43
"92",2025-05-09 16:14:13.183822,47
"93",2025-05-09 16:19:17.358643,48
"94",2025-05-09 16:39:11.715082,50
"95",2025-05-09 16:44:16.764058,52
"96",2025-05-09 16:49:21.779003,52
"97",2025-05-09 16:54:27.464563,53
"98",2025-05-09 16:59:31.869552,53
"99",2025-05-09 17:04:36.733433,53
"100",2025-05-09 17:09:41.263651,56
