"","time","number"
"1",2025-05-05 14:47:16.343963,59
"2",2025-05-05 14:52:25.363898,59
"3",2025-05-05 14:57:32.571476,61
"4",2025-05-05 15:02:39.389915,64
"5",2025-05-05 15:07:44.808593,67
"6",2025-05-05 15:12:50.173223,70
"7",2025-05-05 15:17:55.830545,70
"8",2025-05-05 15:23:01.253693,71
"9",2025-05-05 15:28:07.310781,71
"10",2025-05-05 15:33:12.918478,72
"11",2025-05-05 15:38:18.029508,61
"12",2025-05-05 15:43:23.307149,61
"13",2025-05-05 15:48:28.789941,62
"14",2025-05-05 15:53:34.455571,64
"15",2025-05-05 15:58:39.808705,65
"16",2025-05-05 16:03:46.432989,65
"17",2025-05-05 16:08:51.962587,66
"18",2025-05-05 16:13:57.607373,73
"19",2025-05-05 16:19:02.741201,76
"20",2025-05-05 16:24:07.828624,80
"21",2025-05-05 16:29:12.778161,79
"22",2025-05-05 16:34:17.699484,82
"23",2025-05-05 16:39:22.524306,83
"24",2025-05-05 16:44:26.904933,82
"25",2025-05-05 16:49:31.971012,83
"26",2025-05-05 16:54:37.114364,85
"27",2025-05-05 16:59:42.070199,77
"28",2025-05-05 17:04:51.32092,77
"29",2025-05-05 17:09:56.331412,83
"30",2025-05-05 17:15:01.944087,85
"31",2025-05-05 17:20:07.43092,97
"32",2025-05-05 17:25:11.43008,99
"33",2025-05-05 17:30:15.378301,104
"34",2025-05-05 17:35:18.899855,113
"35",2025-05-05 17:40:22.729939,114
"36",2025-05-05 17:45:26.359612,121
"37",2025-05-05 17:50:29.937147,126
"38",2025-05-05 17:55:33.614272,132
"39",2025-05-05 18:00:37.092252,135
"40",2025-05-05 18:05:40.789739,150
"41",2025-05-05 18:10:44.465392,150
"42",2025-05-05 18:15:48.182596,150
"43",2025-05-05 18:20:51.722814,150
"44",2025-05-05 18:25:55.433733,150
"45",2025-05-05 18:30:58.94904,150
"46",2025-05-05 18:36:02.536053,150
"47",2025-05-05 18:41:06.19514,150
"48",2025-05-05 18:46:09.535897,150
"49",2025-05-05 18:51:12.944127,150
"50",2025-05-05 18:56:16.26084,150
"51",2025-05-05 19:01:20.048944,150
"52",2025-05-05 19:06:24.541457,150
"53",2025-05-05 19:11:28.222709,150
"54",2025-05-05 19:16:33.215946,150
"55",2025-05-05 19:21:38.15039,150
"56",2025-05-05 19:26:43.208977,150
"57",2025-05-05 19:31:47.958136,150
"58",2025-05-05 19:36:52.371475,150
"59",2025-05-05 19:41:56.771093,150
"60",2025-05-05 19:47:01.039564,150
"61",2025-05-05 19:52:05.270964,150
"62",2025-05-05 19:57:09.508452,150
"63",2025-05-05 20:02:13.696613,150
"64",2025-05-05 20:07:18.285709,150
"65",2025-05-05 20:12:23.293081,147
"66",2025-05-05 20:17:28.759215,150
"67",2025-05-05 20:22:33.825917,150
"68",2025-05-05 20:27:38.779889,149
"69",2025-05-05 20:32:42.398959,148
"70",2025-05-05 20:37:46.129674,150
"71",2025-05-05 20:42:49.619415,150
"72",2025-05-05 20:47:53.06523,129
"73",2025-05-05 20:52:56.344744,129
"74",2025-05-05 20:57:59.699372,128
"75",2025-05-05 21:03:03.426855,129
"76",2025-05-05 21:08:07.185411,130
"77",2025-05-05 21:13:10.712024,131
"78",2025-05-05 21:18:13.834404,133
"79",2025-05-05 21:23:17.233294,133
"80",2025-05-05 21:28:21.663787,132
"81",2025-05-05 21:33:26.902696,125
"82",2025-05-05 21:38:31.947694,123
"83",2025-05-05 21:43:36.96101,116
"84",2025-05-05 21:48:42.140043,85
"85",2025-05-05 21:53:48.853071,84
"86",2025-05-05 21:58:54.26091,84
"87",2025-05-05 22:03:59.668428,82
