"","time","number"
"1",2025-05-11 08:24:53.768041,0
"2",2025-05-11 08:30:06.810325,0
"3",2025-05-11 08:35:12.067405,0
"4",2025-05-11 08:40:17.369894,0
"5",2025-05-11 08:45:23.454988,0
"6",2025-05-11 08:50:32.132063,0
"7",2025-05-11 08:55:41.495251,0
"8",2025-05-11 09:00:50.352451,0
"9",2025-05-11 09:05:59.19723,0
"10",2025-05-11 09:11:07.728644,0
"11",2025-05-11 09:16:16.746449,0
"12",2025-05-11 09:21:25.416412,0
"13",2025-05-11 09:26:34.664981,0
"14",2025-05-11 09:31:43.330666,0
"15",2025-05-11 09:36:51.720082,0
"16",2025-05-11 09:42:00.583494,0
"17",2025-05-11 09:47:08.536064,0
"18",2025-05-11 09:52:17.284334,0
"19",2025-05-11 09:57:26.140987,0
"20",2025-05-11 10:02:35.188007,0
"21",2025-05-11 10:07:43.66939,0
"22",2025-05-11 10:12:52.613649,0
"23",2025-05-11 10:18:01.173347,0
"24",2025-05-11 10:23:10.149228,0
"25",2025-05-11 10:28:18.802068,0
"26",2025-05-11 10:33:27.877227,0
"27",2025-05-11 10:38:36.358042,0
"28",2025-05-11 10:43:45.150532,0
"29",2025-05-11 10:48:53.769634,0
"30",2025-05-11 10:54:02.84577,0
"31",2025-05-11 10:59:11.594667,0
"32",2025-05-11 11:04:20.613874,0
"33",2025-05-11 11:09:29.319722,0
"34",2025-05-11 11:14:38.278224,0
"35",2025-05-11 11:19:46.911267,0
"36",2025-05-11 11:24:55.911342,0
"37",2025-05-11 11:30:11.154451,51
"38",2025-05-11 11:35:20.043669,56
"39",2025-05-11 11:40:28.630629,56
"40",2025-05-11 11:45:37.295236,62
"41",2025-05-11 11:50:45.844577,64
"42",2025-05-11 11:55:54.86679,62
"43",2025-05-11 12:01:03.670832,62
"44",2025-05-11 12:06:12.673965,62
"45",2025-05-11 12:11:20.980181,62
"46",2025-05-11 12:16:29.893742,64
"47",2025-05-11 12:21:38.608558,65
"48",2025-05-11 12:26:46.34439,65
"49",2025-05-11 12:31:55.158485,65
"50",2025-05-11 12:37:04.110329,65
"51",2025-05-11 12:42:12.460217,70
"52",2025-05-11 12:47:21.292921,71
"53",2025-05-11 12:52:29.899598,71
"54",2025-05-11 12:57:36.015132,75
"55",2025-05-11 13:02:41.913857,75
"56",2025-05-11 13:07:48.081462,73
"57",2025-05-11 13:12:57.0894,72
"58",2025-05-11 13:18:05.786395,69
"59",2025-05-11 13:23:14.753191,64
"60",2025-05-11 13:28:23.37144,64
"61",2025-05-11 13:33:32.643893,66
"62",2025-05-11 13:38:41.411828,63
"63",2025-05-11 13:43:50.245999,63
"64",2025-05-11 13:48:58.621577,62
"65",2025-05-11 13:54:07.500016,59
"66",2025-05-11 13:59:16.051791,62
"67",2025-05-11 14:04:25.147754,55
"68",2025-05-11 14:09:33.787429,55
"69",2025-05-11 14:14:42.848756,58
"70",2025-05-11 14:19:51.46992,57
"71",2025-05-11 14:25:00.327499,60
"72",2025-05-11 14:30:10.516684,58
"73",2025-05-11 14:35:19.545165,58
"74",2025-05-11 14:40:28.177643,58
"75",2025-05-11 14:45:37.02777,58
"76",2025-05-11 14:50:45.27952,58
"77",2025-05-11 14:55:50.619202,58
"78",2025-05-11 15:00:56.208931,55
"79",2025-05-11 15:06:04.650146,55
"80",2025-05-11 15:11:13.014843,54
"81",2025-05-11 15:16:22.040819,57
"82",2025-05-11 15:21:30.596974,58
"83",2025-05-11 15:26:39.458157,58
"84",2025-05-11 15:31:47.944947,58
"85",2025-05-11 15:36:56.993686,54
"86",2025-05-11 15:42:05.430206,50
"87",2025-05-11 15:47:13.943637,50
"88",2025-05-11 15:52:22.608416,49
"89",2025-05-11 15:57:31.643546,49
"90",2025-05-11 16:02:40.23348,49
"91",2025-05-11 16:07:49.375294,49
"92",2025-05-11 16:12:57.871845,49
"93",2025-05-11 16:18:06.619154,50
"94",2025-05-11 16:23:15.362717,50
"95",2025-05-11 16:28:23.749687,51
"96",2025-05-11 16:33:32.713996,50
"97",2025-05-11 16:38:41.684394,48
"98",2025-05-11 16:43:50.606364,46
"99",2025-05-11 16:48:59.383184,48
"100",2025-05-11 16:54:08.293113,49
